Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.576,0,100,0,345.6,0,-8.32102,0.130894,0.101208,3.44607,0.717375,-0.226511,-9.32478
0.579,0,100,0,347.4,0,-9.32478,-0.0521835,0.106729,3.69061,0.826465,-0.198556,-10.2689
0.582,0,100,0,349.2,0,-10.2689,-0.102857,0.0371577,3.47803,0.0242836,0.118463,-10.7971
0.585,0,100,0,351,0,-10.7971,0.0315264,0.0708476,3.40003,-0.278274,-0.258549,-11.4082
0.588,0,100,0,352.8,0,-11.4082,-0.0521951,-0.0318622,3.3344,-0.581614,-1.14611,-12.2435
0.591,0,100,0,354.6,0,-12.2435,0.0179592,0.0911822,3.00934,0.135316,-0.0883507,-11.5096
0.594,0,100,0,356.4,0,-11.5096,-0.0188967,-0.00786073,2.69799,-0.221975,-0.178425,-11.2068
0.597,0,100,0,358.2,0,-11.2068,0.0018406,0.0660666,2.00473,-0.00749927,-0.120506,-14.0309
0.6,0,100,0,2.66454e-13,0,-14.0309,0.194552,-0.0612448,3.06924,1.55004,-0.853624,-12.4521
0.603,0,100,0,1.8,0,-12.4521,-0.0233469,0.0738461,1.90887,0.319113,-0.299948,-10.2991
0.606,0,100,0,3.6,0,-10.2991,0.0140487,0.138265,1.90396,0.32522,0.18645,-9.10615
0.609,0,100,0,5.4,0,-9.10615,0.00793253,0.114757,1.99736,0.129927,0.0603365,-8.84166
0.612,0,100,0,7.20001,0,-8.84166,0.0893533,0.0714632,2.18946,0.256298,-0.534768,-8.6736
0.615,0,100,0,9.00001,0,-8.6736,0.0682105,0.0919217,2.15685,0.109596,0.0514726,-7.8039
0.618,0,100,0,10.8,0,-7.8039,0.0306662,0.181838,1.70785,0.274994,-0.201195,-6.79336
0.621,0,100,0,12.6,0,-6.79336,0.0153753,-0.0296725,1.81352,0.547861,-0.50558,-6.54506
