Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.348,0,100,0,208.8,0,-10.8516,0.0568828,-0.0271518,0.230702,0.0369298,0.132793,-11.4009
0.351,0,100,0,210.6,0,-11.4009,-0.100012,0.0106874,0.250722,-0.473414,0.360898,-12.6931
0.354,0,100,0,212.4,0,-12.6931,-0.0729744,0.0460838,1.02662,-0.41918,0.318051,-13.5994
0.357,0,100,0,214.2,0,-13.5994,-0.0151586,-0.0562063,1.32613,0.199141,0.0996557,-14.8575
0.36,0,100,0,216,0,-14.8575,-0.0431688,-0.08936,1.78001,0.00472398,-0.576028,-15.9166
0.363,0,100,0,217.8,0,-15.9166,-0.102337,0.0149545,0.949228,-0.0879686,-0.230517,-13.9575
0.366,0,100,0,219.6,0,-13.9575,-0.0870555,0.00438809,1.85217,-0.0137161,0.17061,-15.5677
0.369,0,100,0,221.4,0,-15.5677,-0.111541,0.0219111,3.33768,-0.323613,0.146797,-16.1745
0.372,0,100,0,223.2,0,-16.1745,-0.084049,-0.0263879,2.57311,-0.442711,0.168327,-16.1977
0.375,0,100,0,225,0,-16.1977,-0.0534266,0.0853291,-12.2945,-0.172219,0.439425,-7.66338
0.378,0,100,0,226.8,0,-7.66338,-0.00287333,0.0165513,1.30175,-0.0965195,0.336715,-12.4309
0.381,0,100,0,228.6,0,-12.4309,-0.097502,0.123475,3.31086,-0.198508,-0.152193,-13.4479
0.384,0,100,0,230.4,0,-13.4479,-0.0723051,-0.11361,2.8092,0.0946374,-0.472417,-13.3222
0.387,0,100,0,232.2,0,-13.3222,0.0249854,-0.0174245,3.31523,-0.525091,0.115749,-13.4398
0.39,0,100,0,234,0,-13.4398,-0.0207909,-0.0113799,2.55152,-0.235168,-0.0261713,-11.7217
0.393,0,100,0,235.8,0,-11.7217,-0.0370263,0.00884638,2.31911,-0.259716,0.186178,-11.489
0.396,0,100,0,237.6,0,-11.489,0.0281591,0.0847543,2.25725,0.0163653,0.0608526,-11.6298
0.399,0,100,0,239.4,0,-11.6298,-0.0175982,-0.0177822,1.92181,0.0661554,-0.0527869,-10.094
0.402,0,100,0,241.2,0,-10.094,-0.0453915,-0.0239573,2.08982,-0.26063,0.0979087,-11.0061
0.405,0,100,0,243,0,-11.0061,-0.0580131,0.0106953,2.03535,-0.368231,0.116086,-10.51
0.408,0,100,0,244.8,0,-10.51,-0.0177179,-0.000456606,1.39387,-0.137656,0.285228,-9.7262
0.411,0,100,0,246.6,0,-9.7262,0.0723533,0.0978384,1.54461,0.377457,0.654796,-10.6886
0.414,0,100,0,248.4,0,-10.6886,0.0223492,-0.101102,1.22135,0.0972954,-0.376354,-11.0265
0.417,0,100,0,250.2,0,-11.0265,0.127474,-0.0437981,0.831421,-0.04639,0.0966994,-11.247
0.42,0,100,0,252,0,-11.247,0.0215072,0.022471,0.533858,-0.350755,0.207371,-11.7706
0.423,0,100,0,253.8,0,-11.7706,-0.0485423,-0.0162084,0.762453,-0.32772,-0.168635,-12.5798
0.426,0,100,0,255.6,0,-12.5798,-0.00629982,0.0363696,0.885404,-0.169223,0.329311,-13.8125
0.429,0,100,0,257.4,0,-13.8125,-0.0168142,-0.066923,1.92098,0.18922,0.010556,-15.2299
0.432,0,100,0,259.2,0,-15.2299,0.0469417,-0.0742972,2.17181,0.801746,0.222365,-16.2578
0.435,0,100,0,261,0,-16.2578,0.0178769,-0.0794528,2.61319,0.143553,-0.561451,-17.3033
0.438,0,100,0,262.8,0,-17.3033,-0.0992013,-0.0422741,2.08284,-0.24642,-0.454564,-15.5879
0.441,0,100,0,264.6,0,-15.5879,-0.102085,-0.0644798,3.14216,-0.196368,0.0653868,-17.7309
0.444,0,100,0,266.4,0,-17.7309,-0.0876057,-0.00135023,4.55649,-0.307485,0.0705066,-18.0363
0.447,0,100,0,268.2,0,-18.0363,-0.0524914,-0.0477951,3.58618,-0.354073,0.160525,-17.7886
0.45,0,100,0,270,0,-17.7886,-0.0289242,0.04132,-9.70504,-0.216388,0.0903427,-10.7961
0.453,0,100,0,271.8,0,-10.7961,-0.0351343,0.00715718,2.05871,-0.134581,0.189592,-13.6413
0.456,0,100,0,273.6,0,-13.6413,-0.0898499,0.0649255,3.97011,0.0277141,-0.161157,-14.422
0.459,0,100,0,275.4,0,-14.422,-0.051959,-0.183572,3.53777,0.224107,-0.399591,-14.384
0.462,0,100,0,277.2,0,-14.384,0.101948,0.0203689,3.89588,-0.214966,0.241572,-14.4042
0.465,0,100,0,279,0,-14.4042,-0.0239117,0.0157135,3.09714,-0.298865,0.00050176,-12.9162
0.468,0,100,0,280.8,0,-12.9162,-0.0460682,-0.0180519,2.6487,-0.136611,-0.0137891,-12.061
0.471,0,100,0,282.6,0,-12.061,-0.0877875,0.0462253,2.73414,-0.45347,0.117995,-12.4097
0.474,0,100,0,284.4,0,-12.4097,-0.0154009,0.050375,2.48008,-0.111348,0.0860038,-11.0196
0.477,0,100,0,286.2,0,-11.0196,-0.0761055,-0.0176997,2.49765,-0.222191,-0.157645,-11.8588
0.48,0,100,0,288,0,-11.8588,-0.088812,-0.0768661,2.02704,-0.23048,-0.295599,-10.7343
0.483,0,100,0,289.8,0,-10.7343,0.00883134,-0.00134374,1.68128,0.240235,0.228328,-10.2454
0.486,0,100,0,291.6,0,-10.2454,0.0536794,0.0320095,1.50351,-0.0167197,0.425349,-11.0503
0.489,0,100,0,293.4,0,-11.0503,0.116514,-0.120656,1.59216,0.316738,-0.100891,-11.7053
0.492,0,100,0,295.2,0,-11.7053,0.108149,-0.020608,1.13545,0.180177,0.0980156,-11.7741
0.495,0,100,0,297,0,-11.7741,0.0189871,0.0173981,0.679505,-0.369049,-0.143353,-11.7875
0.498,0,100,0,298.8,0,-11.7875,0.0823484,0.125776,0.88875,0.0310359,0.556018,-12.8928
0.501,0,100,0,300.6,0,-12.8928,-0.0395559,-0.0256204,1.2625,0.0583456,-0.00512975,-14.7914
0.504,0,100,0,302.4,0,-14.7914,0.00453344,-0.0827712,2.00517,-0.215762,-0.0713643,-15.293
0.507,0,100,0,304.2,0,-15.293,0.0843125,-0.102206,2.47901,0.723037,0.132546,-17.0475
0.51,0,100,0,306,0,-17.0475,0.0374376,-0.0261633,2.81848,-0.114215,-0.405688,-17.7431
0.513,0,100,0,307.8,0,-17.7431,-0.108503,-0.0786372,2.64964,-0.223545,-0.574746,-16.3828
0.516,0,100,0,309.6,0,-16.3828,-0.0426948,-0.0785138,3.61156,-0.0591871,0.238556,-18.5117
0.519,0,100,0,311.4,0,-18.5117,-0.0413184,0.00628745,4.99646,-0.174077,0.408494,-18.8284
0.522,0,100,0,313.2,0,-18.8284,-0.000977408,-0.0217454,3.78298,-0.319235,0.339076,-18.3041
0.525,0,100,0,315,0,-18.3041,-0.0240716,0.0591555,-8.32452,-0.270741,0.272779,-12.1677
0.528,0,100,0,316.8,0,-12.1677,0.0206925,0.00776336,2.37984,-0.00973122,0.293482,-13.7744
0.531,0,100,0,318.6,0,-13.7744,-0.0547294,0.0326845,4.08503,0.00378489,-0.245415,-14.5832
0.534,0,100,0,320.4,0,-14.5832,-0.0394668,-0.181395,3.69247,0.27904,-0.380104,-14.7036
0.537,0,100,0,322.2,0,-14.7036,0.0513605,-0.0370728,4.21586,-0.453141,-0.128548,-14.8507
0.54,0,100,0,324,0,-14.8507,0.0402277,-0.0135769,3.23373,-0.0431913,-0.099851,-12.7312
0.543,0,100,0,325.8,0,-12.7312,0.0173814,-0.0621783,2.8917,-0.129605,-0.0981178,-12.1953
0.546,0,100,0,327.6,0,-12.1953,-0.0111918,0.0299942,2.64491,-0.153092,0.0523546,-12.0685
0.549,0,100,0,329.4,0,-12.0685,0.0130526,0.0197424,2.61754,-0.178137,0.345974,-11.0242
0.552,0,100,0,331.2,0,-11.0242,-0.0269009,-0.0041538,2.6036,-0.170655,0.092874,-11.7426
0.555,0,100,0,333,0,-11.7426,0.00500978,-0.042134,2.5138,-0.100862,-0.0743301,-11.1308
0.558,0,100,0,334.8,0,-11.1308,0.00495739,-0.0291418,1.78784,-0.0214273,0.287318,-10.2918
0.561,0,100,0,336.6,0,-10.2918,-0.0230119,0.011133,1.77306,-0.30255,0.228085,-11.0814
0.564,0,100,0,338.4,0,-11.0814,0.100412,-0.103137,1.61857,0.261325,0.0126703,-11.4125
0.567,0,100,0,340.2,0,-11.4125,0.0404844,0.0331502,1.12338,-0.36479,0.308371,-11.5582
0.57,0,100,0,342,0,-11.5582,0.005032,-0.0210602,0.963874,-0.488686,-0.223768,-12.0174
0.573,0,100,0,343.8,0,-12.0174,0.0575624,0.0292463,1.14643,-0.238853,0.342991,-13.0586
0.576,0,100,0,345.6,0,-13.0586,-0.0725227,-0.020649,1.27253,-0.217969,-0.0638091,-14.3553
0.579,0,100,0,347.4,0,-14.3553,0.0245689,0.0186642,2.14949,-0.0968742,0.256579,-15.2569
0.582,0,100,0,349.2,0,-15.2569,0.0991456,-0.103552,2.54904,0.856173,0.0436305,-16.7302
0.585,0,100,0,351,0,-16.7302,0.0251397,0.0472861,2.91372,0.0922578,0.0991473,-17.3116
