Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
169,57,0.171,0.0632681,0.0700153,-0.529469,-0.0535826,0,0,0,0
170,57,0.171,0.0636372,0.069881,-0.544782,-0.0555371,0,0,0,0
171,57,0.171,0.0639343,0.0697603,-0.556514,-0.0599157,0,0,0,0
172,58,0.174,0.0647037,0.0708101,-0.566362,-0.0509951,0,0,0,0
173,58,0.174,0.0651305,0.0707178,-0.582013,-0.0508535,0,0,0,0
174,58,0.174,0.0654315,0.0706347,-0.593866,-0.0542596,0,0,0,0
175,59,0.177,0.0670626,0.0701878,-0.601533,-0.0477022,0,0,0,0
176,59,0.177,0.0676737,0.0699144,-0.615455,-0.0489941,0,0,0,0
177,59,0.177,0.0681287,0.0696803,-0.626069,-0.0531624,0,0,0,0
178,60,0.18,0.068214,0.0711498,-0.632905,-0.0448172,0,0,0,0
179,60,0.18,0.068681,0.0711076,-0.645579,-0.0453875,0,0,0,0
180,60,0.18,0.069081,0.0709924,-0.655247,-0.0493627,0,0,0,0
181,61,0.183,0.0678157,0.0716196,-0.660667,-0.0462731,0,0,0,0
182,61,0.183,0.0682555,0.0716036,-0.672908,-0.049102,0,0,0,0
183,61,0.183,0.0686369,0.0715182,-0.682124,-0.0539719,0,0,0,0
184,62,0.186,0.0691867,0.0711398,-0.68202,-0.051934,0,0,0,0
185,62,0.186,0.0695046,0.0707727,-0.691542,-0.0548117,0,0,0,0
186,62,0.186,0.0697648,0.070486,-0.698921,-0.059414,0,0,0,0
187,63,0.189,0.0694292,0.0696116,-0.695271,-0.0508983,0,0,0,0
188,63,0.189,0.0695288,0.0691973,-0.703324,-0.0509759,0,0,0,0
189,63,0.189,0.0696359,0.0689019,-0.7096,-0.0543076,0,0,0,0
190,64,0.192,0.0688677,0.068611,-0.699835,-0.0529972,0,0,0,0
191,64,0.192,0.0694124,0.0682552,-0.707261,-0.056174,0,0,0,0
192,64,0.192,0.0698258,0.0679645,-0.713117,-0.0606561,0,0,0,0
193,65,0.195,0.0699279,0.0672455,-0.702302,-0.0615254,0,0,0,0
194,65,0.195,0.0703481,0.0669791,-0.709511,-0.0651843,0,0,0,0
195,65,0.195,0.0706775,0.0667641,-0.715116,-0.0695055,0,0,0,0
196,66,0.198,0.0684375,0.0692456,-0.702522,-0.066256,0,0,0,0
197,66,0.198,0.0688555,0.0691213,-0.708521,-0.0679313,0,0,0,0
198,66,0.198,0.0692125,0.0689777,-0.713366,-0.0712209,0,0,0,0
199,67,0.201,0.0688953,0.0692937,-0.698929,-0.0662897,0,0,0,0
200,67,0.201,0.0688952,0.0691637,-0.705207,-0.0671256,0,0,0,0
201,67,0.201,0.0689021,0.0690739,-0.710407,-0.0699121,0,0,0,0
202,68,0.204,0.0672524,0.0706881,-0.694656,-0.064017,0,0,0,0
203,68,0.204,0.0675046,0.0708542,-0.701887,-0.064317,0,0,0,0
204,68,0.204,0.0676957,0.0709395,-0.707631,-0.0667482,0,0,0,0
205,69,0.207,0.0690592,0.0701005,-0.690624,-0.0635711,0,0,0,0
206,69,0.207,0.0688686,0.0698119,-0.697779,-0.0652292,0,0,0,0
207,69,0.207,0.0687318,0.0695773,-0.703561,-0.0682039,0,0,0,0
208,70,0.21,0.0643351,0.0735788,-0.676996,-0.0667123,0,0,0,0
209,70,0.21,0.0640468,0.0741443,-0.686381,-0.0690285,0,0,0,0
210,70,0.21,0.063893,0.0745964,-0.693676,-0.0721501,0,0,0,0
211,71,0.213,0.0625184,0.0753001,-0.653304,-0.0664127,0,0,0,0
212,71,0.213,0.062744,0.0756427,-0.664289,-0.0672485,0,0,0,0
213,71,0.213,0.0628757,0.0759133,-0.672691,-0.0699028,0,0,0,0
214,72,0.216,0.0632468,0.0760139,-0.640073,-0.0627715,0,0,0,0
215,72,0.216,0.0632129,0.0760192,-0.650265,-0.0641448,0,0,0,0
216,72,0.216,0.0631309,0.0760028,-0.657409,-0.0674122,0,0,0,0
217,73,0.219,0.0597615,0.0774389,-0.612201,-0.0634758,0,0,0,0
218,73,0.219,0.0599425,0.0772984,-0.618375,-0.0657111,0,0,0,0
219,73,0.219,0.0600697,0.0771543,-0.622167,-0.069377,0,0,0,0
220,74,0.222,0.0618068,0.072904,-0.569378,-0.0753001,0,0,0,0
221,74,0.222,0.062221,0.0719752,-0.569821,-0.081908,0,0,0,0
222,74,0.222,0.0625148,0.0712536,-0.569321,-0.0873652,0,0,0,0
223,75,0.225,0.0619954,0.0703964,-0.272777,-0.0773981,0,0,0,0
224,75,0.225,0.0619068,0.0700928,-0.26735,-0.0731836,0,0,0,0
225,75,0.225,0.0618458,0.0698771,-0.26549,-0.071355,0,0,0,0
226,76,0.228,0.0614553,0.0700884,-0.265586,-0.081028,0,0,0,0
227,76,0.228,0.0612568,0.0700444,-0.27392,-0.0891949,0,0,0,0
228,76,0.228,0.0610784,0.0700227,-0.280083,-0.0956099,0,0,0,0
229,77,0.231,0.0615323,0.0714871,-0.271269,-0.0822691,0,0,0,0
230,77,0.231,0.0615135,0.0715118,-0.2801,-0.0794128,0,0,0,0
231,77,0.231,0.0614041,0.0714885,-0.286994,-0.0805635,0,0,0,0
232,78,0.234,0.0624526,0.0720433,-0.284405,-0.0702843,0,0,0,0
233,78,0.234,0.0627478,0.0719179,-0.294993,-0.0689818,0,0,0,0
234,78,0.234,0.0629162,0.0718303,-0.303319,-0.0711513,0,0,0,0
235,79,0.237,0.060494,0.0728831,-0.306801,-0.0653405,0,0,0,0
236,79,0.237,0.0603527,0.0725189,-0.318124,-0.0662855,0,0,0,0
237,79,0.237,0.060228,0.0722571,-0.32674,-0.0696957,0,0,0,0
238,80,0.24,0.060441,0.0741711,-0.330304,-0.0624302,0,0,0,0
239,80,0.24,0.0605722,0.0743414,-0.341174,-0.0629968,0,0,0,0
240,80,0.24,0.0606442,0.0744337,-0.349583,-0.0665301,0,0,0,0
241,81,0.243,0.0614916,0.0734362,-0.356561,-0.0588253,0,0,0,0
242,81,0.243,0.0616162,0.0735495,-0.368334,-0.059308,0,0,0,0
243,81,0.243,0.0617042,0.0736001,-0.377224,-0.0629676,0,0,0,0
244,82,0.246,0.0607233,0.0745854,-0.385922,-0.0576615,0,0,0,0
245,82,0.246,0.0608639,0.0745484,-0.398194,-0.0594239,0,0,0,0
246,82,0.246,0.0609974,0.0744733,-0.407268,-0.0638588,0,0,0,0
247,83,0.249,0.0610376,0.0750856,-0.41658,-0.0519411,0,0,0,0
248,83,0.249,0.0614079,0.0750806,-0.429404,-0.05063,0,0,0,0
249,83,0.249,0.061664,0.0750456,-0.438848,-0.0537337,0,0,0,0
250,84,0.252,0.0631076,0.075392,-0.446523,-0.0453871,0,0,0,0
251,84,0.252,0.0634919,0.0753555,-0.457557,-0.0460916,0,0,0,0
252,84,0.252,0.0637938,0.0752593,-0.465786,-0.0502599,0,0,0,0
253,85,0.255,0.0641605,0.0768232,-0.472042,-0.0444285,0,0,0,0
254,85,0.255,0.0645912,0.0769283,-0.48225,-0.0464272,0,0,0,0
255,85,0.255,0.0649909,0.0769332,-0.489861,-0.0512992,0,0,0,0
256,86,0.258,0.0638248,0.077089,-0.495564,-0.0508223,0,0,0,0
257,86,0.258,0.0641939,0.077003,-0.505785,-0.0549816,0,0,0,0
258,86,0.258,0.0644882,0.0769064,-0.51325,-0.0605657,0,0,0,0
259,87,0.261,0.0660455,0.0758423,-0.514527,-0.0511766,0,0,0,0
260,87,0.261,0.0664373,0.0755281,-0.522925,-0.0510221,0,0,0,0
261,87,0.261,0.0667145,0.0752668,-0.529284,-0.0545715,0,0,0,0
262,88,0.264,0.0650727,0.0761614,-0.527334,-0.0491054,0,0,0,0
263,88,0.264,0.065167,0.0759054,-0.534816,-0.0507389,0,0,0,0
264,88,0.264,0.0652918,0.0756804,-0.540499,-0.0551167,0,0,0,0
265,89,0.267,0.0644157,0.0751121,-0.533988,-0.0545327,0,0,0,0
266,89,0.267,0.064851,0.0753439,-0.541709,-0.0583256,0,0,0,0
267,89,0.267,0.0652161,0.0755209,-0.54759,-0.0633172,0,0,0,0
268,90,0.27,0.0652611,0.0737793,-0.539629,-0.0625608,0,0,0,0
269,90,0.27,0.0654733,0.0734297,-0.547171,-0.0656198,0,0,0,0
270,90,0.27,0.0656411,0.0731492,-0.552936,-0.0698892,0,0,0,0
271,91,0.273,0.0623651,0.0743203,-0.5441,-0.0651374,0,0,0,0
272,91,0.273,0.0625975,0.0739399,-0.55135,-0.0664919,0,0,0,0
273,91,0.273,0.0628346,0.0736146,-0.55701,-0.069935,0,0,0,0
274,92,0.276,0.0635581,0.0738436,-0.548699,-0.0656981,0,0,0,0
275,92,0.276,0.0633996,0.0734103,-0.557146,-0.0671244,0,0,0,0
276,92,0.276,0.063248,0.0730441,-0.563846,-0.070457,0,0,0,0
277,93,0.279,0.0622255,0.0732598,-0.554129,-0.0660756,0,0,0,0
278,93,0.279,0.0624959,0.0731855,-0.564239,-0.0672352,0,0,0,0
279,93,0.279,0.0626966,0.0730753,-0.572142,-0.0702326,0,0,0,0
280,94,0.282,0.0629031,0.073105,-0.564705,-0.0657822,0,0,0,0
281,94,0.282,0.0626088,0.0728374,-0.575812,-0.067044,0,0,0,0
282,94,0.282,0.0623956,0.0726242,-0.584588,-0.0700649,0,0,0,0
283,95,0.285,0.0572811,0.0744386,-0.570226,-0.0630091,0,0,0,0
284,95,0.285,0.0570465,0.0745551,-0.584448,-0.0632901,0,0,0,0
285,95,0.285,0.0569069,0.0746288,-0.595479,-0.0659144,0,0,0,0
286,96,0.288,0.0561613,0.0753226,-0.561707,-0.0617551,0,0,0,0
287,96,0.288,0.0561662,0.0753708,-0.57841,-0.0641823,0,0,0,0
288,96,0.288,0.0561056,0.0753723,-0.591267,-0.0678389,0,0,0,0
289,97,0.291,0.0562221,0.0751108,-0.567041,-0.0605965,0,0,0,0
