Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.531,0,100,0,318.6,0,-38.4452,0.115551,0.0194836,2.71638,-0.398408,0.66157,-38.492
0.534,0,100,0,320.4,0,-38.492,0.152714,-0.0930405,2.63337,0.44449,-0.122222,-41.1589
0.537,0,100,0,322.2,0,-41.1589,-0.00288492,-0.0476088,1.78835,-0.342568,-0.558485,-41.1547
0.54,0,100,0,324,0,-41.1547,-0.252461,0.241161,3.6837,-2.4469,-1.15883,-45.527
0.543,0,100,0,325.8,0,-45.527,0.100103,0.117897,1.97296,-1.52878,0.279193,-45.1691
0.546,0,100,0,327.6,0,-45.1691,-0.00317378,0.150764,3.48445,-1.40169,1.39912,-50.9938
0.549,0,100,0,329.4,0,-50.9938,-0.193862,-0.0592305,4.44185,-0.886815,0.088844,-48.8018
0.552,0,100,0,331.2,0,-48.8018,-0.0430747,0.280796,3.27065,-0.710467,2.35361,-52.3773
0.555,0,100,0,333,0,-52.3773,0.067615,0.143098,3.25514,-0.707321,0.514062,-47.1371
0.558,0,100,0,334.8,0,-47.1371,-0.144423,-0.0554108,2.80798,-0.660252,-1.40003,-45.179
0.561,0,100,0,336.6,0,-45.179,-0.0909323,0.020041,5.41101,0.201948,0.460221,-44.9838
0.564,0,100,0,338.4,0,-44.9838,0.102284,-0.268349,4.61282,2.04167,-0.277927,-38.4303
0.567,0,100,0,340.2,0,-38.4303,0.0605487,-0.201873,4.01107,0.515568,-0.405032,-37.3633
0.57,0,100,0,342,0,-37.3633,0.0882859,-0.126595,3.37549,0.204209,-0.070341,-38.4859
0.573,0,100,0,343.8,0,-38.4859,0.254632,-0.141333,2.49107,0.713843,0.479152,-38.0901
