Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
186,62,0.186,-0.0292111,0.0143955,-2.32049,0.0881122,0,0,0,0
187,63,0.189,-0.0271762,0.0125133,-2.24394,0.0902777,0,0,0,0
188,63,0.189,-0.0256179,0.00984969,-2.21705,0.0898684,0,0,0,0
189,63,0.189,-0.0241689,0.00799848,-2.19498,0.0880543,0,0,0,0
190,64,0.192,-0.0270682,0.00449695,-2.09346,0.0799849,0,0,0,0
191,64,0.192,-0.0261598,-0.000266129,-2.06431,0.0732785,0,0,0,0
192,64,0.192,-0.0253585,-0.00379259,-2.04015,0.0679864,0,0,0,0
193,65,0.195,-0.0238127,-0.00892667,-1.93149,0.062713,0,0,0,0
194,65,0.195,-0.0222793,-0.0142528,-1.90181,0.0568235,0,0,0,0
195,65,0.195,-0.0209459,-0.0177531,-1.87701,0.051493,0,0,0,0
196,66,0.198,-0.0130274,-0.000165881,-1.6023,0.055583,0,0,0,0
197,66,0.198,-0.0105162,-0.00370277,-1.55345,0.0560451,0,0,0,0
198,66,0.198,-0.00880339,-0.00571099,-1.51536,0.0541998,0,0,0,0
199,67,0.201,-0.0150886,-0.027347,-1.00615,0.0387868,0,0,0,0
200,67,0.201,-0.0166084,-0.0360216,-0.994604,0.0249,0,0,0,0
201,67,0.201,-0.0176143,-0.0420993,-0.981773,0.0149296,0,0,0,0
202,68,0.204,-0.0129868,-0.0648626,-0.84523,-0.0145731,0,0,0,0
203,68,0.204,-0.00866786,-0.0682484,-0.833089,-0.0321389,0,0,0,0
204,68,0.204,-0.00532328,-0.0708727,-0.826452,-0.041989,0,0,0,0
205,69,0.207,0.00881526,-0.0869393,-0.745667,-0.0612625,0,0,0,0
206,69,0.207,0.0129292,-0.0916183,-0.749681,-0.0715539,0,0,0,0
207,69,0.207,0.0160516,-0.0949985,-0.754283,-0.0766827,0,0,0,0
208,70,0.21,0.0220564,-0.0980844,-0.701766,-0.0794937,0,0,0,0
209,70,0.21,0.0264847,-0.0995704,-0.710095,-0.0823955,0,0,0,0
210,70,0.21,0.0299812,-0.100646,-0.718434,-0.084473,0,0,0,0
211,71,0.213,0.0376119,-0.111229,-0.687303,-0.0851817,0,0,0,0
212,71,0.213,0.0412511,-0.112285,-0.701045,-0.0874596,0,0,0,0
213,71,0.213,0.0439279,-0.113047,-0.713287,-0.0895373,0,0,0,0
214,72,0.216,0.0522009,-0.117404,-0.703557,-0.090092,0,0,0,0
215,72,0.216,0.0551157,-0.118103,-0.721649,-0.0924727,0,0,0,0
216,72,0.216,0.0573756,-0.118681,-0.737068,-0.0948275,0,0,0,0
217,73,0.219,0.0665156,-0.119956,-0.742748,-0.09705,0,0,0,0
218,73,0.219,0.0709734,-0.120155,-0.768619,-0.100088,0,0,0,0
219,73,0.219,0.0743964,-0.120358,-0.789864,-0.102479,0,0,0,0
220,74,0.222,0.0831476,-0.122406,-0.812311,-0.106021,0,0,0,0
221,74,0.222,0.0872007,-0.12178,-0.845671,-0.10861,0,0,0,0
222,74,0.222,0.0901868,-0.121463,-0.872393,-0.109947,0,0,0,0
223,75,0.225,0.0952162,-0.122723,-0.90068,-0.111869,0,0,0,0
224,75,0.225,0.0986275,-0.122654,-0.93584,-0.113953,0,0,0,0
225,75,0.225,0.101247,-0.122601,-0.963508,-0.115521,0,0,0,0
226,76,0.228,0.105585,-0.122987,-0.992525,-0.110583,0,0,0,0
227,76,0.228,0.108465,-0.123684,-1.02306,-0.109388,0,0,0,0
228,76,0.228,0.110607,-0.124307,-1.04714,-0.109513,0,0,0,0
229,77,0.231,0.110779,-0.126921,-1.07537,-0.103269,0,0,0,0
230,77,0.231,0.112582,-0.126847,-1.10391,-0.101215,0,0,0,0
231,77,0.231,0.113921,-0.126794,-1.12621,-0.100969,0,0,0,0
232,78,0.234,0.117659,-0.126311,-1.15293,-0.0996694,0,0,0,0
233,78,0.234,0.120038,-0.125611,-1.17847,-0.100561,0,0,0,0
234,78,0.234,0.121792,-0.125103,-1.1983,-0.101897,0,0,0,0
235,79,0.237,0.126924,-0.1241,-1.22483,-0.0950261,0,0,0,0
236,79,0.237,0.130178,-0.124031,-1.24957,-0.0931277,0,0,0,0
237,79,0.237,0.132546,-0.123937,-1.26855,-0.0930948,0,0,0,0
238,80,0.24,0.137092,-0.123241,-1.29373,-0.0892795,0,0,0,0
239,80,0.24,0.140117,-0.122279,-1.31734,-0.0884426,0,0,0,0
240,80,0.24,0.142354,-0.121572,-1.33539,-0.0889056,0,0,0,0
241,81,0.243,0.147653,-0.121528,-1.35799,-0.0832455,0,0,0,0
242,81,0.243,0.15118,-0.121719,-1.37848,-0.0816755,0,0,0,0
243,81,0.243,0.15379,-0.121861,-1.3942,-0.0818233,0,0,0,0
244,82,0.246,0.154976,-0.121264,-1.41886,-0.0782119,0,0,0,0
245,82,0.246,0.157217,-0.120072,-1.44015,-0.0779908,0,0,0,0
246,82,0.246,0.158942,-0.119157,-1.45618,-0.0787234,0,0,0,0
247,83,0.249,0.161866,-0.1185,-1.48195,-0.076044,0,0,0,0
248,83,0.249,0.164438,-0.117527,-1.50424,-0.076008,0,0,0,0
249,83,0.249,0.166446,-0.116738,-1.5208,-0.0768463,0,0,0,0
250,84,0.252,0.171445,-0.115307,-1.54469,-0.073516,0,0,0,0
251,84,0.252,0.174965,-0.114557,-1.56412,-0.0731942,0,0,0,0
252,84,0.252,0.177614,-0.113942,-1.57863,-0.073943,0,0,0,0
253,85,0.255,0.181673,-0.112102,-1.60054,-0.0725702,0,0,0,0
254,85,0.255,0.184643,-0.110791,-1.61836,-0.0729008,0,0,0,0
255,85,0.255,0.186939,-0.109725,-1.6317,-0.0738934,0,0,0,0
256,86,0.258,0.191458,-0.107252,-1.65662,-0.070741,0,0,0,0
257,86,0.258,0.194407,-0.105429,-1.67653,-0.0703119,0,0,0,0
258,86,0.258,0.196685,-0.103949,-1.6911,-0.0708625,0,0,0,0
259,87,0.261,0.199029,-0.101512,-1.71287,-0.0678565,0,0,0,0
260,87,0.261,0.201502,-0.0997263,-1.73067,-0.0674235,0,0,0,0
261,87,0.261,0.203429,-0.0983638,-1.74373,-0.0679391,0,0,0,0
262,88,0.264,0.206844,-0.0959239,-1.76611,-0.0669273,0,0,0,0
263,88,0.264,0.209518,-0.0946682,-1.78358,-0.0677489,0,0,0,0
264,88,0.264,0.211595,-0.0936223,-1.79632,-0.0688381,0,0,0,0
265,89,0.267,0.214958,-0.0913703,-1.81762,-0.0659718,0,0,0,0
266,89,0.267,0.217943,-0.0897195,-1.8344,-0.065277,0,0,0,0
267,89,0.267,0.220259,-0.0883836,-1.8466,-0.0655696,0,0,0,0
268,90,0.27,0.224046,-0.0864321,-1.86757,-0.0617967,0,0,0,0
269,90,0.27,0.227128,-0.084655,-1.88416,-0.0610128,0,0,0,0
270,90,0.27,0.229465,-0.0831554,-1.89619,-0.0612976,0,0,0,0
271,91,0.273,0.233936,-0.0820644,-1.91803,-0.0570413,0,0,0,0
272,91,0.273,0.237135,-0.0802433,-1.93476,-0.0556636,0,0,0,0
273,91,0.273,0.239642,-0.0787419,-1.94678,-0.0556265,0,0,0,0
274,92,0.276,0.242904,-0.0759484,-1.96564,-0.0571286,0,0,0,0
275,92,0.276,0.244896,-0.0733085,-1.98028,-0.0588078,0,0,0,0
276,92,0.276,0.246477,-0.0712709,-1.99093,-0.0602612,0,0,0,0
277,93,0.279,0.248469,-0.0667467,-2.01195,-0.0584741,0,0,0,0
278,93,0.279,0.250261,-0.0637569,-2.0285,-0.0587244,0,0,0,0
279,93,0.279,0.251661,-0.0614072,-2.04034,-0.059372,0,0,0,0
280,94,0.282,0.254692,-0.0584162,-2.05661,-0.0571377,0,0,0,0
281,94,0.282,0.256918,-0.0560762,-2.0691,-0.0566655,0,0,0,0
282,94,0.282,0.258658,-0.0541328,-2.07831,-0.056928,0,0,0,0
283,95,0.285,0.262021,-0.0511114,-2.0986,-0.0495226,0,0,0,0
284,95,0.285,0.264462,-0.0483883,-2.1139,-0.0466085,0,0,0,0
285,95,0.285,0.266372,-0.0462302,-2.12487,-0.0456423,0,0,0,0
286,96,0.288,0.270409,-0.0421782,-2.1475,-0.0461758,0,0,0,0
287,96,0.288,0.272828,-0.0396426,-2.1648,-0.046924,0,0,0,0
288,96,0.288,0.274728,-0.0375829,-2.17714,-0.0477364,0,0,0,0
289,97,0.291,0.278313,-0.033314,-2.19542,-0.0461417,0,0,0,0
290,97,0.291,0.280259,-0.0303756,-2.20981,-0.0457831,0,0,0,0
291,97,0.291,0.281791,-0.027985,-2.22033,-0.0460774,0,0,0,0
292,98,0.294,0.284615,-0.0244288,-2.23557,-0.046808,0,0,0,0
293,98,0.294,0.286941,-0.0212485,-2.24738,-0.0479237,0,0,0,0
294,98,0.294,0.288695,-0.0187277,-2.25623,-0.0488676,0,0,0,0
295,99,0.297,0.288981,-0.0176122,-2.27426,-0.0402601,0,0,0,0
296,99,0.297,0.289312,-0.0158263,-2.28827,-0.0364884,0,0,0,0
297,99,0.297,0.28962,-0.0141675,-2.29857,-0.0350008,0,0,0,0
298,100,0.3,0.290218,-0.0119559,-2.31842,-0.0387519,0,0,0,0
299,100,0.3,0.291228,-0.00979817,-2.33408,-0.0409781,0,0,0,0
300,100,0.3,0.292003,-0.00795884,-2.34552,-0.0422848,0,0,0,0
301,101,0.303,0.290813,-0.00312331,-2.36077,-0.0443485,0,0,0,0
302,101,0.303,0.290398,-0.000144638,-2.37327,-0.0456411,0,0,0,0
303,101,0.303,0.290233,0.00230686,-2.38269,-0.046526,0,0,0,0
304,102,0.306,0.291369,0.00462534,-2.39891,-0.0459468,0,0,0,0
305,102,0.306,0.291758,0.00697307,-2.41257,-0.0457921,0,0,0,0
306,102,0.306,0.29216,0.00894348,-2.42282,-0.045994,0,0,0,0
307,103,0.309,0.291713,0.010364,-2.43909,-0.0426829,0,0,0,0
308,103,0.309,0.2924,0.0126487,-2.45302,-0.041336,0,0,0,0
309,103,0.309,0.292941,0.014653,-2.46354,-0.0409501,0,0,0,0
